Postalcode,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce
M4Y,47440.0,36319.0,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,18.0,20815.0,180.0
M2K,47200.0,25377.0,North York,Bayview Village,43.7869473,-79.385975,2.0,13120.0,120.0
M6H,46280.0,43730.0,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,6.0,15515.0,225.0
M4C,46040.0,46440.0,East York,Woodbine Heights,43.6953439,-79.3183887,2.0,15735.0,250.0
M4B,45120.0,18612.0,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.0,4395.0,95.0
M5B,44800.0,17422.0,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,19.0,9925.0,100.0
M6A,43000.0,22380.0,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,1.0,6430.0,75.0
M1M,42920.0,23258.0,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,,6700.0,120.0
M3A,42880.0,34361.0,North York,Parkwoods,43.7532586,-79.3296565,,10585.0,180.0
M5T,42280.0,17903.0,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,14.0,7275.0,80.0
M3K,41960.0,7865.0,North York,Downsview) East (CFB Toronto,43.7374732,-79.4647633,1.0,1965.0,20.0
M4X,41480.0,19896.0,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,19.0,7175.0,75.0
M2M,41080.0,31915.0,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928,1.0,13715.0,110.0
M2H,41040.0,23396.0,North York,Hillcrest Village,43.8037622,-79.3634517,1.0,9520.0,105.0
M6E,40800.0,37684.0,York,Caledonia-Fairbanks,43.6890256,-79.453512,,8710.0,165.0
M2J,40480.0,61761.0,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,,24985.0,205.0
M3C,40400.0,39616.0,North York,Don Mills) South (Flemingdon Park,43.7258997,-79.340923,,12370.0,140.0
M9R,40400.0,33783.0,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,,7610.0,155.0
M4A,39520.0,14589.0,North York,Victoria Village,43.7258823,-79.3155716,,3545.0,55.0
M6N,38760.0,40252.0,York,"Runnymede, The Junction North",43.6731853,-79.4872619,3.0,7190.0,130.0
M1E,38720.0,48033.0,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,11120.0,175.0
M2R,38680.0,40581.0,North York,Willowdale) Wes,43.7827364,-79.4422593,1.0,13725.0,190.0
M9N,38320.0,26059.0,York,Weston,43.706876,-79.5181884,,4015.0,100.0
M6L,38080.0,20156.0,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,,3120.0,50.0
M1L,37960.0,35833.0,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,,9660.0,165.0
M1R,37720.0,30467.0,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,,7100.0,105.0
M9W,36920.0,40977.0,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544,,8315.0,155.0
M6M,36680.0,42148.0,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,,5825.0,120.0
M3M,36560.0,24906.0,North York,Downsview) Centra,43.7284964,-79.4956974,,3975.0,95.0
M1T,36520.0,34607.0,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,,9635.0,125.0
M1X,36520.0,14810.0,Scarborough,Upper Rouge,43.8361247,-79.2056361,,3145.0,20.0
M1H,36480.0,23964.0,Scarborough,Cedarbrae,43.773136,-79.2394761,,6895.0,50.0
M1W,36320.0,47070.0,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,,13180.0,120.0
M9M,35960.0,24245.0,North York,"Humberlea, Emery",43.7247659,-79.5322424,,4210.0,75.0
M1P,35920.0,45170.0,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,,11585.0,95.0
M1B,35800.0,65555.0,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,,14160.0,160.0
M1S,35720.0,37663.0,Scarborough,Agincourt,43.7942003,-79.2620294,,10320.0,100.0
M1K,35520.0,48175.0,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,,10665.0,105.0
M1J,35360.0,37002.0,Scarborough,Scarborough Village,43.7447342,-79.2394761,,7690.0,40.0
M3L,34720.0,19263.0,North York,Downsview) Wes,43.7390146,-79.5069436,,2380.0,60.0
M3J,34560.0,26600.0,North York,"Northwood Park, York University",43.7679803,-79.4872619,1.0,6315.0,100.0
M9L,34240.0,11737.0,North York,Humber Summit,43.7563033,-79.5659633,,1960.0,35.0
M1G,33840.0,30894.0,Scarborough,Woburn,43.7709921,-79.2169174,1.0,6770.0,70.0
M9V,33040.0,53878.0,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,,9715.0,110.0
M1V,32920.0,50825.0,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,,10700.0,75.0
M3N,31240.0,40846.0,North York,Downsview) Northwes,43.7616313,-79.5209994,,3855.0,80.0
M4H,31240.0,18698.0,East York,Thorncliffe Park,43.7053689,-79.3493719,4.0,4280.0,40.0
