Postalcode,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-85,85_plus,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce,target_women_population,market_cap
M2R,880.0,960.0,1290.0,1345.0,1265.0,1445.0,1545.0,1610.0,1565.0,1640.0,1435.0,1270.0,1120.0,720.0,800.0,930.0,38680.0,40581.0,North York,Willowdale) Wes,43.7827364,-79.4422593,1.0,13725.0,190.0,17980.0,695466400.0
M3A,915.0,990.0,1115.0,1215.0,1225.0,1200.0,1285.0,1295.0,1320.0,1415.0,1185.0,925.0,760.0,610.0,450.0,510.0,42880.0,34361.0,North York,Parkwoods,43.7532586,-79.3296565,,10585.0,180.0,14510.0,622188800.0
M3B,400.0,440.0,355.0,260.0,250.0,350.0,370.0,470.0,615.0,520.0,490.0,380.0,430.0,325.0,275.0,360.0,74600.0,12880.0,North York,Don Mills) Nort,43.7459058,-79.352188,,6135.0,85.0,5450.0,406570000.0
M3C,1035.0,1025.0,1110.0,1480.0,1580.0,1460.0,1390.0,1305.0,1370.0,1365.0,1215.0,1135.0,1070.0,850.0,685.0,805.0,40400.0,39616.0,North York,Don Mills) South (Flemingdon Park,43.7258997,-79.340923,,12370.0,140.0,16820.0,679528000.0
M3H,990.0,1040.0,1255.0,1335.0,1370.0,1490.0,1610.0,1475.0,1480.0,1455.0,1310.0,1005.0,840.0,540.0,405.0,670.0,49080.0,38416.0,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1.0,13965.0,255.0,16240.0,797059200.0
M3J,565.0,725.0,1360.0,1285.0,1010.0,935.0,855.0,810.0,920.0,940.0,755.0,535.0,490.0,360.0,325.0,380.0,34560.0,26600.0,North York,"Northwood Park, York University",43.7679803,-79.4872619,1.0,6315.0,100.0,10960.0,378777600.0
M3K,185.0,175.0,235.0,350.0,325.0,305.0,330.0,275.0,290.0,290.0,225.0,155.0,135.0,110.0,115.0,130.0,41960.0,7865.0,North York,Downsview) East (CFB Toronto,43.7374732,-79.4647633,1.0,1965.0,20.0,3270.0,137209200.0
M3L,550.0,615.0,705.0,625.0,605.0,685.0,735.0,655.0,740.0,675.0,635.0,470.0,405.0,330.0,305.0,315.0,34720.0,19263.0,North York,Downsview) Wes,43.7390146,-79.5069436,,2380.0,60.0,7885.0,273767200.0
M3M,560.0,665.0,845.0,950.0,850.0,930.0,985.0,890.0,965.0,990.0,860.0,595.0,510.0,385.0,340.0,415.0,36560.0,24906.0,North York,Downsview) Centra,43.7284964,-79.4956974,,3975.0,95.0,10510.0,384245600.0
M3N,1390.0,1365.0,1555.0,1445.0,1355.0,1470.0,1405.0,1485.0,1565.0,1505.0,1295.0,985.0,815.0,580.0,530.0,615.0,31240.0,40846.0,North York,Downsview) Northwes,43.7616313,-79.5209994,,3855.0,80.0,16605.0,518740200.0
M4A,350.0,340.0,410.0,475.0,490.0,490.0,540.0,465.0,545.0,550.0,510.0,465.0,410.0,320.0,320.0,420.0,39520.0,14589.0,North York,Victoria Village,43.7258823,-79.3155716,,3545.0,55.0,6410.0,253323200.0
M5M,965.0,900.0,725.0,465.0,555.0,790.0,950.0,1065.0,1150.0,1045.0,895.0,705.0,605.0,440.0,270.0,305.0,85700.0,25495.0,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,4.0,12470.0,205.0,9965.0,854000500.0
M6A,670.0,680.0,800.0,910.0,940.0,905.0,930.0,875.0,815.0,785.0,720.0,600.0,450.0,315.0,300.0,485.0,43000.0,22380.0,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,1.0,6430.0,75.0,9830.0,422690000.0
M6B,730.0,795.0,845.0,935.0,1010.0,995.0,1000.0,1005.0,1085.0,1040.0,1030.0,900.0,730.0,490.0,470.0,730.0,48880.0,28534.0,North York,Glencairn,43.709577,-79.4450726,,8685.0,95.0,12265.0,599513200.0
M6L,545.0,535.0,680.0,680.0,620.0,665.0,720.0,690.0,790.0,780.0,690.0,505.0,420.0,355.0,415.0,650.0,38080.0,20156.0,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,,3120.0,50.0,8660.0,329772800.0
M9L,325.0,350.0,430.0,450.0,355.0,335.0,355.0,385.0,395.0,420.0,335.0,275.0,310.0,275.0,255.0,230.0,34240.0,11737.0,North York,Humber Summit,43.7563033,-79.5659633,,1960.0,35.0,4805.0,164523200.0
M9M,715.0,765.0,850.0,905.0,940.0,940.0,905.0,825.0,895.0,830.0,775.0,550.0,460.0,295.0,325.0,255.0,35960.0,24245.0,North York,"Humberlea, Emery",43.7247659,-79.5322424,,4210.0,75.0,9750.0,350610000.0
M7A,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1B,1790.0,1955.0,2390.0,2575.0,2355.0,2140.0,2080.0,2210.0,2315.0,2570.0,2265.0,2020.0,1760.0,1175.0,755.0,625.0,35800.0,65555.0,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,,14160.0,160.0,27235.0,975013000.0
M1C,940.0,975.0,1195.0,1055.0,900.0,1020.0,1095.0,1120.0,1310.0,1480.0,1430.0,1245.0,1090.0,755.0,465.0,395.0,47960.0,35642.0,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,1.0,11150.0,210.0,14555.0,698057800.0
M1E,1340.0,1370.0,1635.0,1620.0,1555.0,1525.0,1550.0,1560.0,1790.0,1915.0,1730.0,1435.0,1195.0,930.0,695.0,770.0,38720.0,48033.0,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1.0,11120.0,175.0,19905.0,770721600.0
M1G,940.0,930.0,1165.0,1310.0,1105.0,1015.0,1005.0,930.0,975.0,970.0,915.0,720.0,680.0,495.0,435.0,410.0,33840.0,30894.0,Scarborough,Woburn,43.7709921,-79.2169174,1.0,6770.0,70.0,12130.0,410479200.0
